components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency,"Mass density, kg/m3_uncertainty_std","Mass density, kg/m3_uncertainty_author_weighted","Mass density, kg/m3_uncertainty_author_averaged","Mass density, kg/m3_uncertainty_author_median","Mass density, kg/m3_uncertainty_bestguess","Mass density, kg/m3_counts",Relative permittivity at zero frequency_uncertainty_std,Relative permittivity at zero frequency_uncertainty_author_weighted,Relative permittivity at zero frequency_uncertainty_author_averaged,Relative permittivity at zero frequency_uncertainty_author_median,Relative permittivity at zero frequency_uncertainty_bestguess,Relative permittivity at zero frequency_counts
diethanolamine,N(CCO)CCO,61791-44-4,308.2,101.325,1087.2386666666669,24.3,0.46649901744401573,4.9999973676896346e-05,0.08913,0.05,0.46649901744401573,3,,0.243,0.243,0.243,0.243,1
diethanolamine,N(CCO)CCO,61791-44-4,313.2,101.325,1083.8711428571428,23.86,0.5792197130920403,4.9999966739855445e-05,0.2764666666666667,0.154235,0.5792197130920403,7,,0.2386,0.2386,0.2386,0.2386,1
diethanolamine,N(CCO)CCO,61791-44-4,318.2,101.325,1080.6746666666668,23.28,0.324470850969099,4.999997366117282e-05,0.08870333333333334,0.05,0.324470850969099,3,,0.2328,0.2328,0.2328,0.2328,1
diethanolamine,N(CCO)CCO,61791-44-4,323.2,101.325,1077.183142857143,22.63,0.3952579022701746,4.999996665086275e-05,0.27507833333333337,0.15387,0.3952579022701746,7,,0.2263,0.2263,0.2263,0.2263,1
diethanolamine,N(CCO)CCO,61791-44-4,328.2,101.325,1074.4,22.13,,0.21488000000000002,0.21488000000000002,0.21488000000000002,0.21488000000000002,1,,0.2213,0.2213,0.2213,0.2213,1
diethyl carbonate,C(OCC)(OCC)=O,105-58-8,288.2,101.325,980.3299999999999,2.841,0.125698050828637,0.006608186004550898,0.0225,0.015,0.125698050828637,6,,0.02841,0.02841,0.02841,0.02841,1
diethyl carbonate,C(OCC)(OCC)=O,105-58-8,298.2,101.325,969.1657142857144,2.8339999999999996,0.22305988925648473,0.00585763230168695,4.20875,0.05,0.22305988925648473,21,,0.028339999999999997,0.028339999999999997,0.028339999999999997,0.028339999999999997,1
diethyl carbonate,C(OCC)(OCC)=O,105-58-8,308.2,101.325,957.8914285714285,2.8360000000000003,0.10237652445548145,0.0063443240165672035,0.021249999999999998,0.0125,0.10237652445548145,7,,0.02836,0.028360000000000003,0.028360000000000003,0.02836,1
diethyl carbonate,C(OCC)(OCC)=O,105-58-8,318.2,101.325,947.665,2.8369999999999997,0.007071061805937012,0.007071067811865475,0.01,0.01,0.007071067811865475,2,,0.02837,0.02837,0.02837,0.02837,1
diethyl carbonate,C(OCC)(OCC)=O,105-58-8,328.2,101.325,935.14,2.839,0.02828427191917729,0.007071067811865475,0.01,0.01,0.02828427191917729,2,,0.02839,0.02839,0.02839,0.02839,1
diisopropanolamine,C(C(O)C)NCC(O)C,110-97-4,313.2,101.325,992.46,13.62,,,,,,1,,0.1362,0.1362,0.1362,0.1362,1
diisopropanolamine,C(C(O)C)NCC(O)C,110-97-4,323.2,101.325,984.48375,13.36,0.44391018256067194,0.2,0.2,0.2,0.44391018256067194,4,,0.1336,0.1336,0.1336,0.1336,1
dimethyl carbonate,C(OC)(OC)=O,616-38-6,288.2,101.325,1076.2940000000003,3.1310000000000002,0.4311960107500736,4.9999999998749995e-08,0.006666683333333333,0.01,0.4311960107500736,5,,0.031310000000000004,0.031310000000000004,0.031310000000000004,0.031310000000000004,1
dimethyl carbonate,C(OC)(OC)=O,616-38-6,298.2,101.325,1063.7465555555555,3.134,1.9646358898275502,4.999999999028472e-08,3.8738461576923076,0.01,1.9646358898275502,27,,0.03134,0.03134,0.03134,0.03134,1
dimethyl carbonate,C(OC)(OC)=O,616-38-6,308.2,101.325,1050.0238749999999,3.141,0.100910765415514,4.999999999596597e-08,0.02333334166666667,0.01,0.100910765415514,8,,0.03141,0.03141,0.03141,0.03141,1
dimethyl carbonate,C(OC)(OC)=O,616-38-6,318.2,101.325,1036.7217500000002,3.147,0.12010654929588732,0.00408248290463863,0.008333333333333333,0.01,0.12010654929588732,4,,0.03147,0.03147,0.03147,0.03147,1
dimethyl carbonate,C(OC)(OC)=O,616-38-6,328.2,101.325,1022.8686666666667,3.1489999999999996,0.4054446119346314,0.00408248290463863,0.008333333333333333,0.01,0.4054446119346314,3,,0.03149,0.03149,0.03149,0.03149,1
ethanol,C(C)O,121182-78-3,288.2,101.325,793.8256296296296,25.92,0.36026903961657314,0.00321106495529708,0.08364705882352944,0.05,0.36026903961657314,27,,0.03,0.03,0.03,0.03,1
ethanol,C(C)O,121182-78-3,293.2,101.325,789.6069516129033,25.12,0.7915716969880147,3.533983821997944e-05,0.11824157826086948,0.05,0.7915716969880147,62,,0.03,0.03,0.03,0.03,1
ethanol,C(C)O,121182-78-3,298.0,101.325,785.1,22.8,0.0,0.05551495339095584,0.07851,0.07851,0.05551495339095584,2,,1.2084,1.2084,1.2084,1.2084,1
ethanol,C(C)O,121182-78-3,298.2,101.325,785.6997598039219,24.35,5.855689517074857,9.868611394419144e-05,0.3377379958677686,0.04,5.855689517074857,204,,0.03,0.03,0.03,0.03,1
ethanol,C(C)O,121182-78-3,303.2,101.325,781.2996451612905,23.735,1.253380871698664,4.995611061591107e-05,0.13851891224489787,0.05,1.253380871698664,62,0.19091883092052217,0.02766996381554372,0.050805,0.050805,0.19091883092052217,2
ethanol,C(C)O,121182-78-3,308.2,101.325,776.8358793103447,22.87,1.4089965706965737,0.0024213721895716554,0.21534638809523804,0.05,1.4089965706965737,58,,0.03,0.03,0.03,0.03,1
"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,293.2,101.325,913.31,11.76,,0.02,0.02,0.02,0.02,1,,0.02,0.02,0.02,0.02,1
"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,298.2,101.325,908.19,11.5,,0.02,0.02,0.02,0.02,1,,0.02,0.02,0.02,0.02,1
"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,303.2,101.325,903.11,11.19,,0.02,0.02,0.02,0.02,1,,0.02,0.02,0.02,0.02,1
ethylene glycol,C(CO)O,37221-95-7,303.2,101.325,1106.1345789473683,39.84,0.9690668661534775,0.004271756414248672,0.14090000000000003,0.05,0.9690668661534775,19,,0.11952,0.11952,0.11952,0.11952,1
formamide,C(=O)N,23296-41-5,303.2,101.325,1124.874,106.14,0.3184022611272155,0.00894141111609582,0.2575,0.26,0.3184022611272155,5,0.0,0.22515694126542046,0.31842,0.31842,0.22515694126542046,2
glycerol,OCC(O)CO,8043-29-6,303.2,101.325,1255.00825,41.17,0.4031611548796541,0.035112344158839175,0.13333333333333333,0.05,0.4031611548796541,4,0.0,0.08733475854435048,0.12351,0.12351,0.08733475854435048,2
heptane,CCCCCCC,142-82-5,288.2,101.325,688.1446153846155,1.94,0.17604807005507805,0.0031972841723961567,0.037,0.025,0.17604807005507805,13,,0.0194,0.0194,0.0194,0.0194,1
heptane,CCCCCCC,142-82-5,298.2,101.325,679.991626506024,1.93,1.9114708786400683,0.0019450403682981596,0.2987173913043479,0.05,1.9114708786400683,83,,0.0193,0.0193,0.0193,0.0193,1
heptane,CCCCCCC,142-82-5,308.2,101.325,671.0220869565218,1.92,0.21389757788974542,0.003012679625911544,0.04916666666666668,0.05,0.21389757788974542,23,,0.0192,0.0192,0.0192,0.0192,1
methanol,CO,54841-71-3,288.2,101.325,796.0156190476189,34.62,0.31407554475561067,0.0005587360143168515,0.02375,0.0085,0.31407554475561067,21,,0.03,0.03,0.03,0.03,1
methanol,CO,54841-71-3,293.2,101.325,791.2908076923076,33.6,0.9030757909460307,0.0006229740225351918,0.08432008648648641,0.03,0.9030757909460307,52,,0.03,0.03,0.03,0.03,1
methanol,CO,54841-71-3,298.0,101.325,787.0,33.1,,,,,,1,,1.7543,1.7543,1.7543,1.7543,1
methanol,CO,54841-71-3,298.2,101.325,787.0938571428572,32.6,7.139126887375694,4.455024249380577e-05,0.4107878897435896,0.045,7.139126887375694,133,,0.03,0.03,0.03,0.03,1
methanol,CO,54841-71-3,303.2,101.325,782.0282321428574,31.65,0.4162179489682926,0.0005944870588479732,0.1447655044444444,0.05,0.4162179489682926,56,,0.03,0.03,0.03,0.03,1
methanol,CO,54841-71-3,308.2,101.325,777.0474583333333,30.72,1.1692262937448568,0.00054722697055779,0.20761464871794866,0.05,1.1692262937448568,48,,0.03,0.03,0.03,0.03,1
methyl sulfoxide,C[S](=O)C,164071-41-4,293.2,101.325,1099.801230769231,47.09,2.211739065025872,0.0021336732645726823,0.10566666666666664,0.0175,2.211739065025872,13,,0.05,0.05,0.05,0.05,1
methyl sulfoxide,C[S](=O)C,164071-41-4,303.2,101.325,1090.7659310344827,45.94,0.7343696000904504,4.998424259665903e-05,0.054007083333333344,0.04,0.7343696000904504,29,,0.05,0.05,0.05,0.05,1
methyl sulfoxide,C[S](=O)C,164071-41-4,313.2,101.325,1080.600210526316,44.64,0.5601591613923362,4.999184562415423e-05,0.0461838888888889,0.025,0.5601591613923362,19,,0.05,0.05,0.05,0.05,1
methyl sulfoxide,C[S](=O)C,164071-41-4,323.2,101.325,1070.2986666666666,43.31,0.3037778791499305,4.999490078016738e-05,0.03000714285714286,0.05,0.3037778791499305,9,,0.05,0.05,0.05,0.05,1
methylaniline,CNC1=CC=CC=C1,100-61-8,300.2,101.325,979.8,5.877999999999999,,0.1,0.1,0.1,0.1,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,278.2,101.325,913.925,5.761,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,280.6,101.325,911.466,5.705,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,283.2,101.325,908.9910000000001,5.651,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,285.6,101.325,906.513,5.591,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,288.2,101.325,903.7453333333333,5.531000000000001,0.25172471750535397,0.018569533817705187,0.035,0.035,0.25172471750535397,3,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,290.6,101.325,901.556,5.468,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,293.2,101.325,898.924,5.417999999999999,0.12817176030019894,0.018569533817705187,0.035,0.035,0.12817176030019894,3,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,295.6,101.325,896.585,5.364,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,298.2,101.325,894.0709999999999,5.31,0.06208864831868612,0.004975185951049945,0.0275,0.0275,0.06208864831868612,5,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,300.6,101.325,891.605,5.263999999999999,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,303.2,101.325,889.25275,5.205,0.11802648056453624,0.018569533817705187,0.035,0.035,0.11802648056453624,4,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,305.6,101.325,886.6110000000001,5.141,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,308.2,101.325,884.4277500000001,5.0760000000000005,0.23125797280269225,0.018569533817705187,0.035,0.035,0.23125797280269225,4,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,310.6,101.325,881.6080000000001,5.015,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,313.2,101.325,879.44925,4.961,0.4644375630577047,0.018569533817705187,0.035,0.035,0.4644375630577047,4,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,315.6,101.325,876.582,4.901,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,318.2,101.325,874.7556666666666,4.841,0.5964028281430664,0.018569533817705187,0.035,0.035,0.5964028281430664,3,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,320.6,101.325,871.546,4.784,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,323.2,101.325,869.0189999999999,4.725,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,325.6,101.325,866.488,4.667,,0.05,0.05,0.05,0.05,1,,,,,,1
n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,328.2,101.325,863.951,4.614,,0.05,0.05,0.05,0.05,1,,,,,,1
n-nonane,CCCCCCCCC,111-84-2,288.2,101.325,721.6304999999999,1.993,0.16901331325002245,0.004535573676110727,0.019000000000000003,0.02,0.16901331325002245,6,,0.01993,0.01993,0.01993,0.01993,1
n-nonane,CCCCCCCCC,111-84-2,298.2,101.325,713.9806296296296,1.98,0.23467049731740997,0.0042102884647998865,0.03084615384615385,0.03,0.23467049731740997,27,,0.0198,0.0198,0.0198,0.0198,1
n-nonane,CCCCCCCCC,111-84-2,308.2,101.325,706.3634444444444,1.966,0.5526633495951747,0.004535573676110727,0.019000000000000003,0.02,0.5526633495951747,9,,0.01966,0.01966,0.01966,0.01966,1
n-nonane,CCCCCCCCC,111-84-2,318.2,101.325,698.0982222222223,1.953,0.10096258949737326,0.004423258684646914,0.01916666666666667,0.02,0.10096258949737326,9,,0.019530000000000002,0.019530000000000002,0.019530000000000002,0.019530000000000002,1
n-nonane,CCCCCCCCC,111-84-2,328.2,101.325,690.194375,1.94,0.13031383775659536,0.004423258684646914,0.01916666666666667,0.02,0.13031383775659536,8,,0.0194,0.0194,0.0194,0.0194,1
n-octane,CCCCCCCC,31372-91-5,288.2,101.325,706.588,1.975,0.16361540261685614,4.9999999999861104e-08,0.020000016666666665,0.03,0.16361540261685614,5,,0.05925,0.05925,0.05925,0.05925,1
n-octane,CCCCCCCC,31372-91-5,293.2,101.325,702.9239,1.9680000000000002,1.2353635688898217,4.999999999974166e-08,0.031666675,0.03,1.2353635688898217,20,0.0,0.04174758436125377,0.059039999999999995,0.059039999999999995,0.04174758436125377,2
n-octane,CCCCCCCC,31372-91-5,298.2,101.325,698.7554821428573,1.9609999999999999,1.109745834748119,4.999999998297005e-08,0.46485237875,0.03,1.109745834748119,56,0.0,0.04159909193720459,0.05882999999999999,0.05882999999999999,0.04159909193720459,2
n-octane,CCCCCCCC,31372-91-5,303.2,101.325,694.5118181818182,1.954,0.5959362890220978,4.99999999840889e-08,0.067045709,0.04,0.5959362890220978,22,0.0,0.04145059951315542,0.058620000000000005,0.058620000000000005,0.04145059951315542,2
n-octane,CCCCCCCC,31372-91-5,308.2,101.325,690.4316923076924,1.9469999999999998,0.09320889053567548,4.999999998369515e-08,0.058045709000000015,0.025,0.09320889053567548,13,,0.058410000000000004,0.058410000000000004,0.058410000000000004,0.058410000000000004,1
propan-1-ol,C(CC)O,71-23-8,288.2,101.325,807.9351111111112,21.87,0.7488298234573019,0.0006781384499528875,0.03826666666666667,0.01,0.7488298234573019,18,,0.03,0.03,0.03,0.03,1
propan-1-ol,C(CC)O,71-23-8,293.2,101.325,803.6626122448981,21.15,1.2771846937507345,3.5324665483386946e-05,0.11762212857142847,0.05,1.2771846937507345,49,,0.03,0.03,0.03,0.03,1
propan-1-ol,C(CC)O,71-23-8,298.0,101.325,799.3333333333334,21.3,0.28867513459481287,0.05653318715586447,0.07995,0.07995,0.28867513459481287,3,,1.1289,1.1289,1.1289,1.1289,1
propan-1-ol,C(CC)O,71-23-8,298.2,101.325,799.8603206106869,20.45,1.1283519449010013,9.804337950014864e-06,0.07801146470588226,0.03,1.1283519449010013,131,,0.03,0.03,0.03,0.03,1
propan-1-ol,C(CC)O,71-23-8,300.2,101.325,798.5,20.678,,0.1,0.1,0.1,0.1,1,,,,,,1
propan-1-ol,C(CC)O,71-23-8,303.2,101.325,796.0872352941174,19.78,1.7076466098293663,4.991115592700828e-05,0.14750496999999987,0.05,1.7076466098293663,51,,0.03,0.03,0.03,0.03,1
propan-1-ol,C(CC)O,71-23-8,308.2,101.325,791.976625,19.13,1.6565541264077033,0.0006713832402052559,0.0865429249999999,0.05,1.6565541264077033,40,,0.03,0.03,0.03,0.03,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,278.2,101.325,939.092,6.794,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,280.6,101.325,936.2489999999999,6.7010000000000005,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,283.2,101.325,933.3889999999999,6.627999999999999,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,285.6,101.325,930.5239999999999,6.562,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,288.2,101.325,927.6125,6.489,0.06010407764666779,0.018569533817705187,0.035,0.035,0.06010407764666779,2,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,290.6,101.325,924.78,6.422000000000001,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,293.2,101.325,921.8294999999999,6.34,0.09828784310251766,0.018569533817705187,0.035,0.035,0.09828784310251766,2,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,295.6,101.325,919.015,6.279,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,298.2,101.325,916.0903333333334,6.209,0.12779019299850336,0.05,0.05,0.05,0.12779019299850336,3,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,300.6,101.325,913.2230000000001,6.122999999999999,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,303.2,101.325,910.353,6.042999999999999,0.2318771229979441,0.018569533817705187,0.035,0.035,0.2318771229979441,3,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,305.6,101.325,907.4069999999999,5.98,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,308.2,101.325,904.5723333333334,5.893,0.2944254288877722,0.018569533817705187,0.035,0.035,0.2944254288877722,3,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,310.6,101.325,901.562,5.817,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,313.2,101.325,898.982,5.742999999999999,0.7103886260578539,0.018569533817705187,0.035,0.035,0.7103886260578539,3,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,315.6,101.325,895.683,5.664,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,318.2,101.325,892.721,5.587000000000001,0.015556341061817932,0.018569533817705187,0.035,0.035,0.018569533817705187,2,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,320.6,101.325,889.7719999999999,5.5120000000000005,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,323.2,101.325,886.802,5.434,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,325.6,101.325,883.823,5.362,,0.05,0.05,0.05,0.05,1,,,,,,1
"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,328.2,101.325,880.8330000000001,5.291,,0.05,0.05,0.05,0.05,1,,,,,,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,293.2,101.325,1270.8,44.5,,0.1,0.1,0.1,0.1,1,,0.89,0.89,0.89,0.89,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,298.2,101.325,1265.2666666666667,44.0,1.3051181299540096,0.1,0.1,0.1,1.3051181299540096,3,,0.88,0.88,0.88,0.88,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,303.2,101.325,1261.6399999999999,43.4,0.8104936769944774,0.019455536006145465,0.30123640000000007,0.2,0.8104936769944774,9,,0.868,0.868,0.868,0.868,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,308.2,101.325,1256.6999999999998,42.8,1.0392304848758949,0.09290065916620376,0.17552,0.17552,1.0392304848758949,4,,0.856,0.856,0.856,0.856,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,313.2,101.325,1252.4142857142858,42.2,1.3680016705315372,0.08387429054002678,0.36951500000000004,0.22505,1.3680016705315372,7,,0.8440000000000001,0.8440000000000001,0.8440000000000001,0.8440000000000001,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,318.2,101.325,1247.25,41.6,2.0506096654591546,0.09280445134256593,0.17458,0.17458,2.0506096654591546,2,,0.8320000000000001,0.8320000000000001,0.8320000000000001,0.8320000000000001,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,323.2,101.325,1243.8366666666666,41.1,1.6043150148650287,0.08379886622453084,0.3675145,0.22412,1.6043150148650287,6,,0.8220000000000001,0.8220000000000001,0.8220000000000001,0.8220000000000001,1
sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,328.2,101.325,1238.6,40.4,2.4041630561853395,0.09271161611291064,0.17369,0.17369,2.4041630561853395,2,,0.8079999999999999,0.8079999999999999,0.8079999999999999,0.8079999999999999,1
triethanolamine,N(CCO)(CCO)CCO,126068-67-5,303.2,101.325,1118.463,28.11,0.5423160207420455,4.9999949911069054e-05,0.4967396,0.05,0.5423160207420455,7,,0.2811,0.2811,0.2811,0.2811,1
triethanolamine,N(CCO)(CCO)CCO,126068-67-5,308.2,101.325,1115.3185,27.41,0.07334166658712338,4.9999950000075005e-05,0.03335,0.05,0.07334166658712338,4,,0.2741,0.2741,0.2741,0.2741,1
triethanolamine,N(CCO)(CCO)CCO,126068-67-5,313.2,101.325,1112.7777142857142,26.73,0.4880456655844518,4.999994991014822e-05,0.4942888,0.05,0.4880456655844518,7,,0.2673,0.2673,0.2673,0.2673,1
triethanolamine,N(CCO)(CCO)CCO,126068-67-5,318.2,101.325,1109.6927500000002,26.07,0.10248698925631669,4.9999950000075005e-05,0.03335,0.05,0.10248698925631669,4,,0.2607,0.2607,0.2607,0.2607,1
triethanolamine,N(CCO)(CCO)CCO,126068-67-5,323.2,101.325,1107.1021428571428,25.41,0.3969628147318988,4.999994990920582e-05,0.49181539999999996,0.05,0.3969628147318988,7,,0.2541,0.2541,0.2541,0.2541,1
triethylene glycol,C(COCCOCCO)O,118662-30-9,293.2,101.325,1124.8666666666666,23.69,2.5629930420468745,0.019999647629059356,1.6945900000000003,1.6945900000000003,2.5629930420468745,3,,0.02,0.02,0.02,0.02,1
triethylene glycol,C(COCCOCCO)O,118662-30-9,298.2,101.325,1119.8357142857144,23.07,0.3899084144217766,0.008665753614153737,0.8560625,0.027500000000000004,0.3899084144217766,7,,0.02,0.02,0.02,0.02,1
triethylene glycol,C(COCCOCCO)O,118662-30-9,303.2,101.325,1115.987,22.43,0.2588860748601499,0.013080516682277507,0.1666,0.035,0.2588860748601499,6,,0.02,0.02,0.02,0.02,1
water,O,14314-42-2,275.2,101.325,999.94,86.36,0.0,0.044721359549995794,0.07500000000000001,0.07500000000000001,0.044721359549995794,2,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,277.2,101.325,999.97,85.67,,0.05,0.05,0.05,0.05,1,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,279.2,101.325,999.94,84.84,0.0,0.044721359549995794,0.07500000000000001,0.07500000000000001,0.044721359549995794,2,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,281.2,101.325,999.85,84.25,,0.05,0.05,0.05,0.05,1,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,283.2,101.325,999.7230000000001,83.37,0.07997624414384621,0.0009608169648798481,0.06455555555555556,0.05,0.07997624414384621,11,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,293.2,101.325,998.4200895522389,79.98,0.5909746883188675,0.0008234260663970032,0.10081999999999992,0.05,0.5909746883188675,67,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,303.2,101.325,995.7003278688525,76.61,0.16053356093993965,0.0008180652406300703,0.1149318181818181,0.05,0.16053356093993965,61,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,305.2,101.325,995.09,75.95,0.0,0.05,0.05,0.05,0.05,2,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,313.2,101.325,992.2259444444446,73.29,0.3094461354059484,0.0027969035761609387,0.20524999999999996,0.07500000000000001,0.3094461354059484,36,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,315.2,101.325,991.4200000000001,72.68,0.15588457171572992,0.025724787771376326,0.04,0.04,0.15588457171572992,3,,0.05,0.05,0.05,0.05,1
water,O,14314-42-2,323.2,101.325,988.111818181818,70.14,0.294305258220919,0.003458412781231925,0.15666666666666665,0.05,0.294305258220919,22,,0.05,0.05,0.05,0.05,1
