components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency,"Mass density, kg/m3_uncertainty_std","Mass density, kg/m3_uncertainty_author_weighted","Mass density, kg/m3_uncertainty_author_averaged","Mass density, kg/m3_uncertainty_author_median","Mass density, kg/m3_uncertainty_bestguess","Mass density, kg/m3_counts",Relative permittivity at zero frequency_uncertainty_std,Relative permittivity at zero frequency_uncertainty_author_weighted,Relative permittivity at zero frequency_uncertainty_author_averaged,Relative permittivity at zero frequency_uncertainty_author_median,Relative permittivity at zero frequency_uncertainty_bestguess,Relative permittivity at zero frequency_counts
1-butanol,C(CCC)O,107569-51-7,308.2,101.325,798.0934186046513,16.26,1.216148256603243,0.0015160496215023368,0.19637173437499988,0.05,1.216148256603243,43,,0.03,0.03,0.03,0.03,1
1-butanol,C(CCC)O,107569-51-7,313.2,101.325,794.2568717948719,15.45,0.321183598320032,3.534903725481874e-05,0.06814546451612902,0.03,0.321183598320032,39,,0.03,0.03,0.03,0.03,1
1-pentanol,C(CCCC)O,71-41-0,288.2,101.325,818.540090909091,16.334,0.31441642896057453,0.0006846585457972409,0.016333333333333335,0.005,0.31441642896057453,11,,0.49001999999999996,0.49001999999999996,0.49001999999999996,0.49001999999999996,1
1-pentanol,C(CCCC)O,71-41-0,293.2,101.325,814.638064516129,15.7375,0.5421439501559091,4.993082534010718e-05,0.056478571428571434,0.02,0.5421439501559091,31,0.002121320327483611,0.33384278451840177,0.472125,0.472125,0.33384278451840177,2
1-pentanol,C(CCCC)O,71-41-0,298.2,101.325,811.0341929824563,15.151,0.602747057491258,0.0006533076138480998,0.05214285714285713,0.035,0.602747057491258,57,0.009899494935598859,0.3214011423439855,0.45453,0.45453,0.3214011423439855,2
1-pentanol,C(CCCC)O,71-41-0,303.2,101.325,807.459375,14.572,0.6621264697308592,0.0009400404749354759,0.13140909090909084,0.04,0.6621264697308592,24,0.009899494938469885,0.3091186934658277,0.43716,0.43716,0.3091186934658277,2
1-pentanol,C(CCCC)O,71-41-0,308.2,101.325,803.5091666666667,13.998,0.25415100836028665,0.0006829268915260058,0.03106666666666667,0.03,0.25415100836028665,18,,0.41994,0.41994,0.41994,0.41994,1
"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,288.2,101.325,948.982,7.6690000000000005,0.4218056425284557,0.008770580193070292,0.045,0.035,0.4218056425284557,5,0.029698484809667604,0.05422740912731625,0.07669,0.07669,0.05422740912731625,2
"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,298.2,101.325,939.088888888889,7.3815,0.4750380100168564,0.008503835609098108,0.06683142857142857,0.05,0.4750380100168564,9,0.0261629509040079,0.05219459527029554,0.073815,0.073815,0.05219459527029554,2
"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,308.2,101.325,929.2333333333335,7.118,0.5209862439679288,0.008760837508553828,0.073184,0.05,0.5209862439679288,6,0.00282842712619994,0.050331854724419436,0.07118,0.07118,0.050331854724419436,2
"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,318.2,101.325,919.198,6.886,0.5418210037637036,0.00879443128545247,0.065965,0.035,0.5418210037637036,5,,0.06886,0.06886,0.06886,0.06886,1
"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,328.2,101.325,908.94,6.6370000000000005,0.38183766161000116,0.00894427190999916,0.015,0.015,0.38183766161000116,2,,0.06637,0.06637,0.06637,0.06637,1
2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,303.2,101.325,927.7310000000001,20.59,1.1500817360760942,4.9999950000075005e-05,0.03335,0.05,1.1500817360760942,3,,0.2059,0.2059,0.2059,0.2059,1
2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,308.2,101.325,923.5356666666667,20.11,1.1056257654955501,4.9999950000075005e-05,0.03335,0.05,1.1056257654955501,3,,0.2011,0.2011,0.2011,0.2011,1
2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,313.2,101.325,918.79225,19.69,1.3786044575129008,4.999994257073002e-05,0.0479425,0.05,1.3786044575129008,4,,0.1969,0.1969,0.1969,0.1969,1
2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,318.2,101.325,915.09,19.27,1.060015094224201,4.9999950000075005e-05,0.03335,0.05,1.060015094224201,3,,0.1927,0.1927,0.1927,0.1927,1
2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,323.2,101.325,910.4209999999999,18.88,1.1789037280927877,4.999994243941407e-05,0.04774250000000001,0.05,1.1789037280927877,4,,0.1888,0.1888,0.1888,0.1888,1
2-aminoethanol,NCCO,9007-33-4,303.2,101.325,1008.55875,31.46,0.831827902302317,0.004419375151451544,0.30259090909090913,0.17,0.831827902302317,12,,0.09437999999999999,0.09437999999999999,0.09437999999999999,0.09437999999999999,1
2-ethyl-1-hexanol,C(C)C(CO)CCCC,704-76-7,298.2,101.325,829.8109999999999,7.353,0.8871247564609542,0.00556319206164213,0.03,0.03,0.8871247564609542,7,,0.005,0.005,0.005,0.005,1
2-ethyl-1-hexanol,C(C)C(CO)CCCC,704-76-7,308.2,101.325,822.12,6.361000000000001,0.850176452061213,0.009622504486493762,0.036666666666666674,0.05,0.850176452061213,3,,0.005,0.005,0.005,0.005,1
2-ethyl-1-hexanol,C(C)C(CO)CCCC,704-76-7,318.2,101.325,814.51,5.522,0.5656854250068607,0.035355339059327376,0.05,0.05,0.5656854250068607,2,,0.005,0.005,0.005,0.005,1
2-methyl-1-propanol,CC(CO)C,68989-27-5,288.2,101.325,805.66525,19.51,0.309952012464199,0.0033333333333333335,0.006666666666666667,0.005,0.309952012464199,4,,0.03,0.03,0.03,0.03,1
2-methyl-1-propanol,CC(CO)C,68989-27-5,293.2,101.325,801.7869230769231,18.71,0.33477317236702075,0.008942991857538227,0.15455555555555558,0.051,0.33477317236702075,13,,0.03,0.03,0.03,0.03,1
2-methyl-1-propanol,CC(CO)C,68989-27-5,298.2,101.325,797.9576956521742,17.96,1.8414544115175646,0.0007269054291154607,0.034578947368421056,0.01,1.8414544115175646,46,,0.03,0.03,0.03,0.03,1
2-methyl-1-propanol,CC(CO)C,68989-27-5,303.2,101.325,794.9887692307692,17.23,3.0858461334287712,0.001947698753289401,0.047,0.05,3.0858461334287712,13,,0.03,0.03,0.03,0.03,1
2-methyl-1-propanol,CC(CO)C,68989-27-5,308.2,101.325,791.3269999999999,16.53,3.676801735209093,0.0019536202379850784,0.04033333333333333,0.04,3.676801735209093,9,,0.03,0.03,0.03,0.03,1
2-propanol,CC(C)O,8013-70-5,288.2,101.325,789.4555714285715,21.22,0.27580660914783905,0.004018713731927203,0.023,0.0185,0.27580660914783905,7,,0.03,0.03,0.03,0.03,1
2-propanol,CC(C)O,8013-70-5,293.2,101.325,785.3058461538462,20.31,0.2921993419549526,4.998167123457349e-05,0.12771785714285716,0.05,0.2921993419549526,26,,0.03,0.03,0.03,0.03,1
2-propanol,CC(C)O,8013-70-5,298.0,101.325,780.88,12.4,,0.01,0.01,0.01,0.01,1,,0.6572,0.6572,0.6572,0.6572,1
2-propanol,CC(C)O,8013-70-5,298.2,101.325,781.18117,19.43,0.8244749177727486,0.000669271548490796,0.46289285714285716,0.03,0.8244749177727486,100,,0.03,0.03,0.03,0.03,1
2-propanol,CC(C)O,8013-70-5,300.2,101.325,779.2,18.562,,0.1,0.1,0.1,0.1,1,,,,,,1
2-propanol,CC(C)O,8013-70-5,303.2,101.325,776.758,18.59,0.5951802375108908,0.0013294796580228157,0.1583333333333333,0.0505,0.5951802375108908,34,,0.03,0.03,0.03,0.03,1
2-propanol,CC(C)O,8013-70-5,308.2,101.325,772.15448,17.79,1.3447577265626032,0.0018034111239477863,0.15327777777777774,0.045,1.3447577265626032,25,,0.03,0.03,0.03,0.03,1
"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,303.2,101.325,932.7093636363636,38.03666666666667,3.1203701149810215,0.002402040149456217,0.015499999999999996,0.02,3.1203701149810215,11,0.5484827557299123,0.07393506137574932,0.13989,0.11316,0.5484827557299123,3
"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,313.2,101.325,922.6295454545456,36.551,0.442168828114773,0.002401347484993853,0.023181818181818182,0.02,0.442168828114773,11,,0.182755,0.182755,0.182755,0.182755,1
"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,323.2,101.325,912.9737142857142,34.678000000000004,0.331528135802968,0.002474487125740942,0.012500000000000002,0.005,0.331528135802968,7,,0.17339000000000002,0.17339000000000002,0.17339000000000002,0.17339000000000002,1
"N,N-dimethylformamide",CN(C=O)C,68-12-2,303.2,101.325,939.4622499999998,36.55,0.49034240859899464,0.0017252115537684876,0.067625,0.03,0.49034240859899464,32,0.0,0.07753425855710493,0.10965,0.10965,0.07753425855710493,2
N-methylacetamide,CNC(C)=O,79-16-3,303.2,101.325,950.9,178.47,0.6928203230141085,0.003903600291794133,0.021333333333333333,0.02,0.6928203230141085,3,,0.89235,0.89235,0.89235,0.89235,1
N-methylacetamide,CNC(C)=O,79-16-3,313.2,101.325,942.9666666666667,163.78799999999998,1.096965511369729,0.003903600291794133,0.021333333333333333,0.02,1.096965511369729,3,,0.81894,0.81894,0.81894,0.81894,1
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,293.2,101.325,1041.0102,22.9,0.8679834099577943,0.004967507005354077,0.08875,0.07500000000000001,0.8679834099577943,5,,0.45799999999999996,0.45799999999999996,0.45799999999999996,0.45799999999999996,1
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,298.2,101.325,1037.564285714286,22.4,0.7168888137269385,0.02229882438741499,0.0575,0.05,0.7168888137269385,7,,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,1
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,303.2,101.325,1033.6573,21.82,0.772239463404614,0.004936902314231042,0.1435714285714286,0.1,0.772239463404614,10,0.028284271245921654,0.19527118678869465,0.3272,0.3272,0.19527118678869465,2
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,308.2,101.325,1029.9992,21.314999999999998,0.6939371008404578,0.03333333333333333,0.06666666666666667,0.05,0.6939371008404578,5,0.0212132034382932,0.19072756350637032,0.31965,0.31965,0.19072756350637032,2
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,313.2,101.325,1026.0595454545455,20.814999999999998,0.8313613369047461,0.0049311858031231524,0.13843750000000002,0.1,0.8313613369047461,11,0.021213203440972824,0.18625542537102457,0.31215000000000004,0.31215000000000004,0.18625542537102457,2
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,318.2,101.325,1022.4053333333333,20.310000000000002,0.654639341013967,0.03333333333333333,0.06666666666666667,0.05,0.654639341013967,6,0.014142135621955968,0.18171178582551373,0.3046,0.3046,0.18171178582551373,2
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,323.2,101.325,1018.3738999999999,19.795,0.8180186700227619,0.004937106355646588,0.14382000000000003,0.1,0.8180186700227619,10,0.007071067794900237,0.177025018801162,0.29695,0.29695,0.177025018801162,2
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,328.2,101.325,1015.3225,19.29,0.4560838739523123,0.1,0.1,0.1,0.4560838739523123,2,0.014142135625975404,0.1724812950227875,0.2894,0.2894,0.1724812950227875,2
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,278.2,101.325,973.52,7.681,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,280.6,101.325,970.515,7.603,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,283.2,101.325,967.49,7.51,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,285.6,101.325,964.457,7.437,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,288.2,101.325,960.4390000000001,7.372000000000001,1.3845150774547017,0.018569533817705187,0.035,0.035,1.3845150774547017,2,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,290.6,101.325,958.368,7.271,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,293.2,101.325,954.4114999999999,7.17,1.2749135265458906,0.018569533817705187,0.035,0.035,1.2749135265458906,2,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,295.6,101.325,952.248,7.098,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,298.2,101.325,948.777,7.021,0.8114259053382192,0.035355339059327376,0.05,0.05,0.8114259053382192,4,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,300.6,101.325,946.095,6.949,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,303.2,101.325,942.6716666666666,6.84,0.9404032824160888,0.018569533817705187,0.035,0.035,0.9404032824160888,3,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,305.6,101.325,939.9069999999999,6.739,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,308.2,101.325,936.719,6.651,1.0222343174250061,0.018569533817705187,0.035,0.035,1.0222343174250061,3,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,310.6,101.325,933.679,6.57,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,313.2,101.325,930.7526666666666,6.479,1.1586377059344513,0.018569533817705187,0.035,0.035,1.1586377059344513,3,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,315.6,101.325,927.4060000000001,6.399,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,318.2,101.325,924.007,6.308,0.34931075006501566,0.018569533817705187,0.035,0.035,0.34931075006501566,2,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,320.6,101.325,921.091,6.215,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,323.2,101.325,917.914,6.1129999999999995,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,325.6,101.325,914.727,6.021,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,328.2,101.325,911.529,5.933,,0.05,0.05,0.05,0.05,1,,,,,,1
bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,293.2,101.325,1116.8775,31.81,0.3317001655518829,0.016640595547847754,1.68806,1.6905599999999998,0.3317001655518829,4,,0.02,0.02,0.02,0.02,1
bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,298.2,101.325,1113.1075,30.95,0.6155543377632967,0.0083253796964134,0.687412,0.03,0.6155543377632967,8,,0.02,0.02,0.02,0.02,1
bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,303.2,101.325,1109.5525,30.03,0.3004163778683441,0.011905023436077836,0.13707142857142857,0.035,0.3004163778683441,8,,0.02,0.02,0.02,0.02,1
cyclohexanone,C1(CCCCC1)=O,11119-77-0,288.2,101.325,952.1893333333334,16.4,1.3330871439652305,0.04714045207910317,0.15,0.2,1.3330871439652305,3,,0.01,0.01,0.01,0.01,1
cyclohexanone,C1(CCCCC1)=O,11119-77-0,293.2,101.325,947.7782500000001,16.08,1.2054980643487152,0.048507125007266595,0.125,0.125,1.2054980643487152,4,,0.01,0.01,0.01,0.01,1
cyclohexanone,C1(CCCCC1)=O,11119-77-0,298.2,101.325,942.3128,15.77,1.0340700583468616,0.00029641279145478964,0.18143000000000004,0.07500000000000001,1.0340700583468616,15,,0.01,0.01,0.01,0.01,1
cyclohexanone,C1(CCCCC1)=O,11119-77-0,303.2,101.325,937.7697272727273,15.46,0.8536046028777176,0.00802572353905128,0.06666666666666667,0.035,0.8536046028777176,11,,0.01,0.01,0.01,0.01,1
cyclohexanone,C1(CCCCC1)=O,11119-77-0,308.2,101.325,933.7616666666667,15.17,1.4141649480014578,0.009735318103990085,0.2489,0.15000000000000002,1.4141649480014578,9,,0.01,0.01,0.01,0.01,1
cyclohexanone,C1(CCCCC1)=O,11119-77-0,313.2,101.325,928.963,14.89,1.2964933475098854,0.009794042137487835,0.08666666666666667,0.05,1.2964933475098854,5,,0.01,0.01,0.01,0.01,1
cyclopentanone,C1(CCCC1)=O,120-92-3,273.2,101.325,969.1,14.45,,0.9691,0.9691,0.9691,0.9691,1,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,278.2,101.325,964.3,14.25,,0.9643,0.9643,0.9643,0.9643,1,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,283.2,101.325,959.5,14.06,,0.9595,0.9595,0.9595,0.9595,1,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,288.2,101.325,954.345,13.86,0.502045814652466,0.0994558979558087,0.52735,0.52735,0.502045814652466,2,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,293.2,101.325,949.9,13.67,,0.9499,0.9499,0.9499,0.9499,1,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,298.2,101.325,944.5428333333334,13.49,0.8229144344822672,0.001999595643503279,0.349,0.1,0.8229144344822672,6,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,303.2,101.325,938.95,13.3,0.6363961029069152,,,,0.6363961029069152,2,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,308.2,101.325,934.4966666666668,13.13,0.52728866212887,0.1,0.1,0.1,0.52728866212887,3,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,313.2,101.325,929.45,12.95,0.6363961029069152,,,,0.6363961029069152,2,,0.02,0.02,0.02,0.02,1
dibutyl ether,C(CCC)OCCCC,142-96-1,288.2,101.325,772.465,3.1860000000000004,0.19091883095744144,0.02,0.02,0.02,0.19091883095744144,2,,0.09558,0.09558,0.09558,0.09558,1
dibutyl ether,C(CCC)OCCCC,142-96-1,293.2,101.325,768.4352000000001,3.145,0.30775509709924737,0.006666666666666667,0.013333333333333334,0.01,0.30775509709924737,5,,0.09435,0.09435,0.09435,0.09435,1
dibutyl ether,C(CCC)OCCCC,142-96-1,298.2,101.325,764.0378461538462,3.1060000000000003,0.16784211123636014,0.0034815531191139566,0.010833333333333334,0.01,0.16784211123636014,13,,0.09318,0.09318,0.09318,0.09318,1
dibutyl ether,C(CCC)OCCCC,142-96-1,303.2,101.325,759.6876,3.068,0.1678639331619706,0.006666666666666667,0.013333333333333334,0.01,0.1678639331619706,5,,0.09204,0.09204,0.09204,0.09204,1
dibutyl ether,C(CCC)OCCCC,142-96-1,308.2,101.325,755.38,3.031,0.0989949487771897,,,,0.0989949487771897,2,,0.09093,0.09093,0.09093,0.09093,1
diethanolamine,N(CCO)CCO,61791-44-4,303.2,101.325,1090.2126666666666,24.69,0.5693022631309996,4.999997206832507e-05,0.31154600000000005,0.2,0.5693022631309996,6,,0.2469,0.2469,0.2469,0.2469,1
